transaction_id,sale_date,store_id,region,product_category,units_sold,unit_price,discount_pct,payment_type,reported_revenue,calculated_revenue,revenue_delta
10072,2025-01-27,S02,north,coffee,5.0,1.5,10,card,6.03,6.75,-0.72
10181,2025-01-24,S04,north,coffee,7.0,6.08,10,card,38.67,38.3,0.37
10317,2025-01-04,S02,north,pastry,9.0,4.0,5,card,35.33,34.2,1.13
10418,2025-03-03,S03,east,sandwich,4.0,4.98,0,card,20.05,19.92,0.13
10167,2025-01-19,S04,west,coffee,11.0,4.66,10,card,46.08,46.13,-0.05
10328,2025-02-20,S02,south,tea,17.0,8.37,5,mobile,71.4,113.0975,-1200.84
10416,2025-01-29,S01,north,coffee,10.0,7.68,0,cash,76.27,76.8,-0.53
10172,2025-01-01,S02,west,coffee,6.0,4.99,0,card,31.8,29.94,1.86
10094,2025-01-26,S02,east,smoothie,11.0,6.57,0,mobile,72.19,72.27,-0.08
10406,2025-01-13,S04,west,pastry,10.0,4.34,0,card,43.46,43.4,0.06
10297,2025-01-04,S04,east,coffee,6.0,6.34,10,card,27.78,34.24,-6.46
10329,2025-01-29,S03,west,tea,6.0,3.08,0,cash,17.94,18.48,-0.54
10085,2025-03-11,S01,north,sandwich,13.0,7.44,15,mobile,82.35,82.21,0.14
10213,2025-02-24,S01,east,tea,6.0,4.46,5,card,26.48,25.42,1.06
10392,2025-02-19,S01,east,sandwich,8.0,5.96,5,card,45.27,45.3,-0.03
10366,2025-02-07,S02,west,tea,8.0,5.04,0,cash,40.41,40.32,0.09
10195,2025-01-12,S01,north,sandwich,11.0,4.48,0,card,48.53,49.28,-0.75
10003,2025-03-02,S04,west,coffee,9.0,9.69,0,card,126.15,87.21,38.94
10097,2025-02-20,S02,north,coffee,10.0,2.85,0,cash,28.05,28.5,-0.45
10221,2025-01-15,S02,west,coffee,7.0,7.11,0,mobile,49.83,49.77,0.06
10367,2025-02-18,S03,unknown,pastry,10.0,5.19,15,cash,45.68,44.12,1.56
10288,2025-02-23,S02,east,coffee,13.0,6.15,0,cash,80.2,79.95,0.25
10318,2025-02-07,S03,west,sandwich,11.0,5.77,10,card,57.06,57.12,-0.06
10133,2025-01-04,S03,south,coffee,10.0,4.57,0,card,-20.32,45.7,-66.02
10212,2025-01-25,S03,south,sandwich,12.0,6.94,5,card,79.45,79.12,0.33
10011,2025-02-12,S02,west,pastry,8.0,4.48,0,mobile,35.93,35.84,0.09
10280,2025-02-09,S04,south,coffee,8.0,6.2,0,card,49.06,49.6,-0.54
10064,2025-01-14,S03,west,coffee,10.0,3.79,0,mobile,38.23,37.9,0.33
10065,2025-01-08,S03,unknown,smoothie,10.0,5.28,0,mobile,53.2,52.8,0.4
10062,2025-01-01,S02,north,sandwich,6.0,6.27,5,card,35.45,35.74,-0.29
10401,2025-02-01,S02,east,pastry,3.0,5.72,0,cash,18.84,17.16,1.68
10054,2025-01-22,S03,west,tea,11.0,6.1,15,mobile,58.3,57.04,1.26
10114,2025-02-17,S03,south,coffee,9.0,11.3625,15,card,88.88,89.05,-0.17
10082,2025-02-12,S02,east,pastry,8.0,6.1,10,card,43.69,43.92,-0.23
10119,2025-02-25,S02,west,sandwich,8.0,6.34,5,cash,49.91,48.18,1.73
10009,2025-03-03,S01,west,sandwich,7.0,7.78,0,cash,54.3,54.46,-0.16
10307,2025-01-08,S02,east,smoothie,8.0,6.23,15,cash,41.68,42.36,-0.68
10260,2025-02-01,S03,south,pastry,9.0,7.26,0,mobile,37.41,65.34,-27.93
10112,2025-02-09,S01,south,coffee,9.0,6.11,15,cash,46.87,46.74,0.13
10273,2025-03-13,S01,north,coffee,9.0,6.47,0,card,57.83,58.23,-0.4
10086,2025-01-08,S01,west,coffee,10.0,4.67,10,card,42.07,42.03,0.04
10029,2025-03-11,S01,south,pastry,13.0,4.55,15,cash,50.19,50.28,-0.09
10236,2025-03-10,S04,north,smoothie,7.0,9.5,0,mobile,74.38,66.5,7.88
10210,2025-02-27,S02,north,tea,8.0,9.81,0,mobile,79.21,78.48,0.73
10235,2025-01-23,S04,south,coffee,12.0,8.97,5,mobile,102.49,102.26,0.23
10087,2025-02-20,S03,east,pastry,12.0,5.08,0,card,61.99,60.96,1.03
10398,2025-02-17,S02,north,tea,9.0,8.91,15,cash,69.5,68.16,1.34
10369,2025-03-05,S02,south,smoothie,6.0,6.83,0,mobile,41.41,40.98,0.43
10038,2025-02-16,S02,east,smoothie,2.0,6.34,10,cash,-5.97,11.41,-17.38
10290,2025-02-23,S01,east,pastry,6.0,6.01,0,card,35.22,36.06,-0.84
10031,2025-02-18,S03,south,coffee,12.0,4.67,5,card,53.78,53.24,0.54
10116,2025-01-11,S04,east,tea,12.0,6.66,5,mobile,75.52,75.92,-0.4
10293,2025-02-22,S04,west,pastry,11.0,9.71,0,card,107.96,106.81,1.15
10252,2025-02-04,S04,south,pastry,10.0,3.5,0,cash,34.65,35.0,-0.35
10355,2025-02-09,S02,east,coffee,7.0,7.54,10,card,47.58,47.5,0.08
10261,2025-02-11,S01,south,coffee,9.0,6.95,10,card,67.34,56.3,11.04
10052,2025-01-17,S01,east,coffee,11.0,3.69,5,card,38.44,38.56,-0.12
10176,2025-01-09,S01,west,coffee,12.0,6.5,15,mobile,67.29,66.3,0.99
10349,2025-02-19,S03,east,tea,8.0,5.78,0,cash,46.72,46.24,0.48
10306,2025-01-04,S02,south,coffee,6.0,7.87,10,card,42.35,42.5,-0.15
10196,2025-02-02,S01,east,coffee,5.0,6.06,0,card,30.37,30.3,0.07
10016,2025-02-07,S01,west,sandwich,7.0,8.6,5,mobile,56.51,57.19,-0.68
10400,2025-01-14,S02,north,tea,12.0,7.91,15,card,81.55,80.68,0.87
10373,2025-01-17,S02,south,coffee,9.0,7.56,5,card,77.96,64.64,13.32
10348,2025-01-12,S02,east,tea,8.0,7.98,10,mobile,58.34,57.46,0.88
10153,2025-02-09,S01,north,tea,5.0,8.69,0,mobile,43.58,43.45,0.13
10037,2025-02-24,S01,east,sandwich,9.0,7.85,0,cash,70.57,70.65,-0.08
10395,2025-02-06,S01,east,pastry,11.0,4.49,0,card,49.37,49.39,-0.02
10127,2025-03-07,S02,east,coffee,14.0,6.38,15,card,75.52,75.92,-0.4
10372,2025-01-24,S02,west,tea,3.0,3.86,15,card,9.24,9.84,-0.6
10189,2025-01-21,S03,east,pastry,5.0,3.57,0,card,17.52,17.85,-0.33
10108,2025-01-28,S02,north,coffee,12.0,6.34,0,card,104.75,76.08,28.67
10305,2025-02-26,S04,unknown,sandwich,8.0,6.39,10,mobile,45.75,46.01,-0.26
10389,2025-02-16,S01,north,coffee,11.0,6.34,10,mobile,73.57,62.77,10.8
10304,2025-02-05,S02,west,sandwich,8.0,5.13,0,card,41.54,41.04,0.5
10413,2025-01-27,S01,north,pastry,8.0,6.28,20,card,39.03,40.19,-1.16
10223,2025-03-11,S03,north,sandwich,8.0,6.86,0,card,55.05,54.88,0.17
10391,2025-03-03,S03,west,sandwich,14.0,7.25,0,card,100.84,101.5,-0.66
10267,2025-01-17,S02,north,coffee,6.0,7.68,10,cash,40.9,41.47,-0.57
10247,2025-03-04,S03,west,tea,8.0,7.62,0,card,61.34,60.96,0.38
10294,2025-02-16,S01,west,pastry,13.0,5.67,5,cash,69.87,70.02,-0.15
10075,2025-01-08,S01,east,coffee,6.0,3.22,0,card,18.86,19.32,-0.46
10417,2025-01-13,S01,north,coffee,7.0,9.69,0,card,68.08,67.83,0.25
10143,2025-01-15,S04,east,pastry,10.0,5.26,0,mobile,53.53,52.6,0.93
10148,2025-02-26,S02,south,coffee,12.0,8.4,10,cash,90.86,90.72,0.14
10174,2025-02-09,S04,south,pastry,10.0,7.73,5,cash,73.37,73.44,-0.07
10331,2025-01-06,S03,east,tea,9.0,6.34,0,card,45.4,57.06,-11.66
10238,2025-02-21,S03,north,sandwich,7.0,5.69,0,card,39.85,39.83,0.02
10013,2025-01-24,S03,west,coffee,8.0,6.43,0,card,51.7,51.44,0.26
10215,2025-03-02,S03,north,coffee,13.0,6.79,15,cash,74.99,75.03,-0.04
10270,2025-02-22,S01,north,tea,9.0,8.29,5,mobile,72.15,70.88,1.27
10231,2025-02-07,S01,east,sandwich,8.0,4.87,0,card,38.81,38.96,-0.15
10277,2025-01-02,S02,west,tea,7.0,4.11,5,card,27.52,27.33,0.19
10201,2025-02-27,S03,east,pastry,12.0,7.82,10,card,84.32,84.46,-0.14
10207,2025-02-20,S01,north,sandwich,5.0,6.47,5,cash,31.49,30.73,0.76
10005,2025-02-27,S01,north,coffee,9.0,8.48,10,card,76.8,68.69,8.11
10309,2025-02-05,S02,east,sandwich,12.0,5.8,20,cash,56.73,55.68,1.05
10145,2025-02-11,S02,east,coffee,6.0,7.22,0,mobile,42.81,43.32,-0.51
10346,2025-01-19,S03,south,pastry,4.0,3.29,0,card,13.16,13.16,0.0
10173,2025-03-12,S02,north,sandwich,13.0,7.67,10,mobile,89.67,89.74,-0.07
10178,2025-01-22,S04,south,coffee,9.0,8.15,0,card,47.61,73.35,-25.74
10419,2025-01-14,S01,east,sandwich,5.0,4.48,0,cash,23.04,22.4,0.64
10107,2025-02-23,S02,west,coffee,8.0,10.06,15,card,69.03,68.41,0.62
10025,2025-01-20,S03,west,sandwich,14.0,7.17,5,mobile,95.83,95.36,0.47
10044,2025-01-30,S02,north,pastry,5.0,7.68,5,card,36.21,36.48,-0.27
10214,2025-03-09,S04,west,tea,7.0,7.88,0,mobile,56.33,55.16,1.17
10281,2025-01-29,S01,north,sandwich,9.0,5.23,0,cash,47.51,47.07,0.44
10266,2025-02-01,S01,north,sandwich,8.0,4.34,0,cash,34.12,34.72,-0.6
10283,2025-02-15,S01,south,smoothie,9.0,8.03,0,cash,89.99,72.27,17.72
10083,2025-02-18,S04,south,sandwich,10.0,6.33,5,card,60.75,60.14,0.61
10168,2025-01-24,S04,east,coffee,9.0,6.85,0,cash,61.53,61.65,-0.12
10320,2025-02-06,S04,south,coffee,5.0,5.77,5,card,27.79,27.41,0.38
10125,2025-02-23,S01,west,pastry,9.0,8.79,0,card,79.09,79.11,-0.02
10359,2025-03-09,S02,west,tea,10.0,8.06,0,mobile,81.37,80.6,0.77
10102,2025-02-15,S03,unknown,coffee,7.0,6.08,15,mobile,41.41,36.18,5.23
10381,2025-03-13,S03,east,pastry,9.0,5.89,5,mobile,50.16,50.36,-0.2
10415,2025-01-18,S01,east,coffee,4.0,7.7,15,cash,25.49,26.18,-0.69
10274,2025-01-28,S03,south,tea,7.0,2.62,10,cash,16.6,16.51,0.09
10151,2025-02-19,S04,south,coffee,8.0,7.92,0,cash,83.31,63.36,19.95
10027,2025-01-27,S02,west,sandwich,10.0,8.19,0,cash,82.67,81.9,0.77
10322,2025-02-11,S02,south,coffee,6.0,3.69,10,mobile,20.05,19.93,0.12
10113,2025-01-02,S02,east,sandwich,9.0,6.14,0,mobile,55.72,55.26,0.46
10396,2025-02-11,S02,south,coffee,7.0,7.13,10,cash,45.44,44.92,0.52
10310,2025-02-28,S01,west,coffee,8.0,8.04,0,card,64.36,64.32,0.04
10028,2025-01-03,S01,west,coffee,9.0,10.41,0,card,93.56,93.69,-0.13
10226,2025-02-01,S04,south,tea,9.0,8.88,0,card,79.66,79.92,-0.26
10111,2025-01-05,S02,north,coffee,10.0,5.05,5,card,48.57,47.97,0.6
10403,2025-01-13,S03,west,tea,9.0,6.34,10,card,69.49,51.35,18.14
10192,2025-01-15,S01,north,pastry,4.0,7.88,5,card,29.6,29.94,-0.34
10272,2025-01-27,S01,north,coffee,11.0,6.61,10,card,68.34,65.44,2.9
10363,2025-01-04,S01,west,sandwich,13.0,4.29,5,mobile,53.03,52.98,0.05
10057,2025-01-25,S02,east,tea,6.0,7.11,10,card,37.77,38.39,-0.62
10149,2025-02-04,S02,north,sandwich,8.0,7.84,10,card,56.29,56.45,-0.16
10088,2025-03-01,S02,south,coffee,8.0,7.14,5,card,54.12,54.26,-0.14
10091,2025-01-09,S01,east,tea,13.0,6.15,20,card,63.16,63.96,-0.8
10098,2025-01-05,S01,north,coffee,9.0,4.27,0,cash,38.51,38.43,0.08
10059,2025-01-06,S01,north,sandwich,6.0,6.72,10,mobile,36.46,36.29,0.17
10117,2025-02-09,S03,south,coffee,9.0,7.36,15,mobile,50.59,56.3,-5.71
10070,2025-02-16,S02,north,coffee,5.0,7.09,0,mobile,34.34,35.45,-1.11
10380,2025-02-06,S03,south,tea,7.0,6.54,0,card,45.38,45.78,-0.4
10339,2025-02-06,S01,south,pastry,10.0,4.3,0,mobile,43.37,43.0,0.37
10282,2025-03-02,S01,north,sandwich,4.0,6.78,10,card,37.09,24.41,12.68
10234,2025-01-01,S03,east,pastry,10.0,8.39,10,cash,74.41,75.51,-1.1
10327,2025-03-04,S04,north,sandwich,9.0,7.04,0,cash,82.56,63.36,19.2
10206,2025-02-15,S01,north,pastry,8.0,2.93,0,mobile,23.23,23.44,-0.21
10330,2025-01-30,S02,west,tea,5.0,8.39,0,card,42.07,41.95,0.12
10041,2025-01-21,S02,north,coffee,13.0,5.91,5,card,74.17,72.99,1.18
10092,2025-01-18,S03,east,tea,9.0,3.59,5,cash,30.56,30.69,-0.13
10135,2025-03-11,S03,north,smoothie,7.0,3.28,0,card,22.86,22.96,-0.1
10338,2025-01-03,S03,north,coffee,12.0,6.31,0,card,76.57,75.72,0.85
10103,2025-01-10,S02,west,coffee,11.0,6.34,10,card,54.11,62.77,-8.66
10289,2025-01-02,S02,east,coffee,11.0,5.48,15,mobile,51.2,51.24,-0.04
10171,2025-03-13,S02,south,pastry,8.0,7.78,0,card,62.56,62.24,0.32
10286,2025-01-15,S02,west,smoothie,13.0,7.81,5,mobile,95.55,96.45,-0.9
10412,2025-03-13,S03,south,pastry,10.0,5.29,0,cash,52.82,52.9,-0.08
10324,2025-01-14,S02,east,coffee,7.0,4.76,0,cash,34.21,33.32,0.89
10397,2025-03-13,S04,north,smoothie,10.0,7.7,10,mobile,69.57,69.3,0.27
10015,2025-02-02,S02,south,pastry,11.0,7.53,0,card,82.04,82.83,-0.79
10073,2025-03-07,S04,south,coffee,17.0,5.38,10,mobile,83.34,82.31,1.03
10121,2025-02-10,S03,north,coffee,8.0,6.44,10,card,46.38,46.37,0.01
10077,2025-01-06,S02,east,sandwich,12.0,9.1,10,card,96.72,98.28,-1.56
10361,2025-01-21,S04,west,pastry,5.0,3.54,10,mobile,15.76,15.93,-0.17
10313,2025-03-14,S01,south,coffee,6.0,5.05,0,cash,29.34,30.3,-0.96
10043,2025-03-10,S03,south,smoothie,8.0,6.27,0,card,50.73,50.16,0.57
10232,2025-01-04,S02,north,pastry,9.0,4.79,0,card,56.41,43.11,13.3
10090,2025-02-06,S02,east,smoothie,2.0,2.44,5,cash,5.15,4.64,0.51
10034,2025-03-01,S02,north,coffee,11.0,6.01,0,mobile,66.1,66.11,-0.01
10197,2025-02-21,S03,west,pastry,10.0,3.54,0,cash,35.99,35.4,0.59
10394,2025-03-04,S03,east,tea,5.0,6.0,0,card,28.82,30.0,-1.18
10157,2025-01-18,S02,east,sandwich,11.0,6.34,10,cash,62.1,62.77,-0.67
10345,2025-03-08,S03,south,coffee,8.0,8.7,10,mobile,63.61,62.64,0.97
10175,2025-01-03,S01,east,coffee,9.0,8.15,0,card,73.8,73.35,0.45
10264,2025-02-01,S01,north,coffee,13.0,9.29,0,card,120.56,113.0975,-0.21
10248,2025-02-18,S02,west,coffee,7.0,8.64,0,card,60.49,60.48,0.01
10301,2025-03-07,S03,west,coffee,17.0,7.6,10,cash,116.29,113.0975,0.01
10385,2025-02-02,S02,south,tea,11.0,4.94,5,card,51.58,51.62,-0.04
10055,2025-02-13,S03,east,pastry,9.0,5.33,0,card,46.97,47.97,-1.0
10017,2025-02-23,S03,north,coffee,10.0,4.49,0,card,44.61,44.9,-0.29
10159,2025-02-07,S03,west,sandwich,6.0,6.91,20,card,32.83,33.17,-0.34
10244,2025-02-12,S02,east,tea,9.0,5.93,0,card,60.86,53.37,7.49
10067,2025-01-10,S03,south,sandwich,9.0,6.99,10,card,56.58,56.62,-0.04
10368,2025-01-09,S03,east,coffee,7.0,6.11,0,cash,43.64,42.77,0.87
10104,2025-02-14,S04,south,tea,10.0,4.53,15,card,37.53,38.51,-0.98
10384,2025-01-17,S02,east,smoothie,9.0,4.4,0,card,48.06,39.6,8.46
10120,2025-01-15,S03,south,sandwich,9.0,4.37,5,card,37.17,37.36,-0.19
10352,2025-02-21,S01,south,sandwich,13.0,4.09,20,card,42.74,42.54,0.2
10217,2025-02-26,S01,south,tea,11.0,4.55,0,card,49.5,50.05,-0.55
10393,2025-01-07,S03,west,smoothie,4.0,4.34,0,card,17.43,17.36,0.07
10066,2025-03-02,S03,east,tea,8.0,5.67,0,card,43.76,45.36,-1.6
10208,2025-02-18,S03,east,smoothie,12.0,5.4,10,card,57.45,58.32,-0.87
10010,2025-01-30,S02,east,sandwich,14.0,5.02,0,cash,70.15,70.28,-0.13
10019,2025-01-12,S04,east,pastry,9.0,3.66,0,card,34.14,32.94,1.2
10154,2025-03-05,S03,south,pastry,6.0,6.96,0,cash,42.32,41.76,0.56
10263,2025-02-28,S02,west,coffee,11.0,6.8,0,cash,74.49,74.8,-0.31
10257,2025-02-19,S04,west,tea,11.0,9.89,5,cash,104.04,103.35,0.69
10271,2025-02-13,S01,east,tea,14.0,6.59,0,card,92.69,92.26,0.43
10134,2025-01-28,S02,south,coffee,11.0,4.11,5,card,42.81,42.95,-0.14
10354,2025-01-15,S03,unknown,tea,10.0,6.18,0,card,61.4,61.8,-0.4
10254,2025-01-26,S01,south,tea,9.0,4.74,0,card,42.55,42.66,-0.11
10162,2025-02-20,S04,east,tea,11.0,3.39,10,mobile,33.17,33.56,-0.39
10314,2025-02-04,S02,west,tea,8.0,6.93,5,card,52.06,52.67,-0.61
10295,2025-02-27,S04,east,coffee,16.0,6.78,10,mobile,98.33,97.63,0.7
10343,2025-02-16,S04,east,coffee,14.0,5.29,5,card,70.38,70.36,0.02
10374,2025-02-03,S02,west,coffee,6.0,6.15,0,card,36.38,36.9,-0.52
10002,2025-02-27,S02,east,sandwich,6.0,6.34,5,card,36.16,36.14,0.02
10118,2025-02-10,S03,east,tea,8.0,6.25,0,cash,49.58,50.0,-0.42
10371,2025-01-12,S03,unknown,coffee,11.0,6.24,15,cash,58.44,58.34,0.1
10337,2025-02-08,S01,south,smoothie,9.0,3.4,5,cash,29.54,29.07,0.47
10410,2025-03-11,S04,west,coffee,11.0,4.48,0,card,48.87,49.28,-0.41
10265,2025-02-27,S04,south,sandwich,9.0,8.23,0,card,75.1,74.07,1.03
10275,2025-03-15,S03,north,smoothie,7.0,6.11,0,card,41.71,42.77,-1.06
10071,2025-02-18,S01,west,coffee,5.0,5.92,5,cash,27.93,28.12,-0.19
10129,2025-01-18,S01,west,coffee,16.0,5.17,0,card,82.73,82.72,0.01
10308,2025-01-31,S03,west,coffee,6.0,5.68,0,card,33.69,34.08,-0.39
10099,2025-01-04,S01,south,tea,7.0,8.08,10,card,51.79,50.9,0.89
10323,2025-02-06,S02,west,coffee,12.0,3.34,0,card,40.05,40.08,-0.03
10022,2025-03-04,S02,west,sandwich,15.0,6.34,0,cash,106.49,95.1,11.39
10194,2025-01-14,S04,south,pastry,5.0,7.21,10,card,31.32,32.44,-1.12
10006,2025-02-09,S04,north,coffee,9.0,6.32,10,cash,52.66,51.19,1.47
10360,2025-01-16,S03,east,sandwich,6.0,10.37,5,cash,59.69,59.11,0.58
10136,2025-02-14,S01,north,coffee,10.0,5.83,0,mobile,57.51,58.3,-0.79
10333,2025-03-10,S03,south,coffee,10.0,3.87,0,cash,-26.04,38.7,-64.74
10199,2025-02-25,S01,south,sandwich,6.0,7.58,5,mobile,44.15,43.21,0.94
10204,2025-02-17,S01,south,pastry,10.0,7.31,0,cash,74.36,73.1,1.26
10068,2025-02-08,S02,north,pastry,10.0,7.08,15,cash,61.43,60.18,1.25
10224,2025-01-21,S04,east,smoothie,7.0,10.62,15,cash,64.73,63.19,1.54
10128,2025-03-13,S01,south,smoothie,12.0,4.14,15,card,42.15,42.23,-0.08
10144,2025-03-12,S03,east,sandwich,13.0,5.46,0,mobile,71.73,70.98,0.75
10140,2025-01-29,S01,east,pastry,13.0,3.85,15,cash,42.52,42.54,-0.02
10219,2025-01-22,S04,south,coffee,11.0,7.92,0,card,86.3,87.12,-0.82
10334,2025-01-03,S04,north,coffee,9.0,6.26,5,mobile,53.64,53.52,0.12
10158,2025-01-05,S03,south,coffee,8.0,5.75,0,card,45.41,46.0,-0.59
10095,2025-01-03,S02,south,coffee,6.0,4.62,10,card,25.46,24.95,0.51
10256,2025-02-21,S03,north,tea,15.0,9.18,0,mobile,138.14,113.0975,0.44
10414,2025-02-15,S04,west,pastry,10.0,8.8,15,card,73.93,74.8,-0.87
10132,2025-01-10,S04,south,coffee,10.0,5.39,10,card,49.59,48.51,1.08
10227,2025-01-16,S01,west,pastry,11.0,4.92,0,card,54.73,54.12,0.61
10040,2025-01-30,S03,east,tea,13.0,7.35,0,card,95.76,95.55,0.21
10420,2025-01-16,S04,west,coffee,8.0,4.95,0,card,40.05,39.6,0.45
10190,2025-03-12,S02,south,coffee,5.0,6.68,0,card,43.81,33.4,10.41
10390,2025-02-01,S04,south,tea,8.0,7.87,5,mobile,59.56,59.81,-0.25
10379,2025-03-12,S02,west,pastry,7.0,8.58,0,cash,59.93,60.06,-0.13
10249,2025-02-17,S02,east,pastry,5.0,2.77,5,cash,13.39,13.16,0.23
10039,2025-03-07,S01,east,coffee,7.0,6.34,0,card,41.46,44.38,-2.92
10243,2025-01-15,S01,west,smoothie,5.0,7.14,5,cash,44.48,33.91,10.57
10358,2025-02-02,S03,west,coffee,9.0,6.43,5,card,55.52,54.98,0.54
10139,2025-02-08,S03,south,coffee,7.0,5.54,0,card,39.46,38.78,0.68
10023,2025-02-27,S04,north,pastry,9.0,3.84,5,card,32.66,32.83,-0.17
10160,2025-01-27,S03,unknown,pastry,13.0,5.69,20,card,59.47,59.18,0.29
10026,2025-01-03,S01,east,tea,8.0,5.8,0,card,46.69,46.4,0.29
10184,2025-01-20,S02,west,pastry,3.0,8.91,10,cash,23.29,24.06,-0.77
10241,2025-03-10,S04,west,sandwich,8.0,4.48,5,card,34.42,34.05,0.37
10014,2025-01-20,S04,north,coffee,9.0,5.85,5,cash,50.89,50.02,0.87
10146,2025-01-31,S02,east,sandwich,6.0,4.96,5,card,27.97,28.27,-0.3
10357,2025-01-30,S03,east,tea,7.0,5.02,0,card,34.91,35.14,-0.23
10315,2025-03-13,S02,south,tea,7.0,9.0,0,card,63.82,63.0,0.82
10079,2025-01-13,S03,south,tea,8.0,6.25,10,cash,45.02,45.0,0.02
10321,2025-01-23,S04,east,tea,11.0,9.14,0,card,98.94,100.54,-1.6
10365,2025-02-11,S03,east,smoothie,11.0,4.56,0,card,50.56,50.16,0.4
10341,2025-01-26,S01,east,coffee,9.0,6.34,0,mobile,69.59,57.06,12.53
10053,2025-01-02,S03,east,coffee,11.0,5.66,0,cash,63.32,62.26,1.06
10035,2025-01-09,S02,east,tea,7.0,6.32,15,mobile,36.96,37.6,-0.64
10279,2025-03-14,S04,east,coffee,4.0,7.16,10,card,25.55,25.78,-0.23
10185,2025-01-21,S03,west,coffee,6.0,7.66,5,card,44.4,43.66,0.74
10312,2025-01-12,S02,east,sandwich,17.0,5.05,0,card,55.36,113.0975,-651.64
10326,2025-01-11,S03,north,sandwich,10.0,7.37,5,card,69.34,70.02,-0.68
