candidate_id,gender,years_experience,resume_score,interview_score,actual_hired,model_predicted_hired
1361,Male,12,36.8,90.7,1,0
1498,Male,8,73.3,66.2,1,1
1097,Female,12,65.7,77.5,1,1
1086,Female,11,63.4,66.2,0,0
1137,Male,12,54.0,79.7,1,1
1317,Female,11,91.1,60.6,1,1
1201,Male,9,69.6,67.7,1,1
1122,Female,5,69.3,100.0,1,1
1406,Male,12,93.5,58.7,1,1
1038,Female,11,77.7,65.2,0,0
1174,Male,8,87.0,83.0,1,0
1272,Male,5,48.8,61.8,0,0
1138,Male,4,60.9,54.5,0,0
1339,Female,11,94.6,54.3,1,0
1360,Male,6,76.0,100.0,1,0
1234,Male,9,66.2,56.6,0,0
1338,Male,7,70.0,70.7,0,1
1398,Female,14,76.5,79.7,1,0
1455,Male,3,83.7,80.6,1,0
1248,Female,9,63.0,74.2,0,1
1016,Female,3,87.3,77.0,1,0
1424,Female,14,57.2,69.0,0,0
1392,Male,9,55.0,62.1,0,0
1037,Female,7,64.6,64.5,0,0
1485,Female,11,58.6,64.7,0,0
1301,Male,2,66.8,51.7,0,0
1303,Male,2,51.6,54.3,0,0
1480,Male,12,59.1,50.5,0,0
1108,Male,10,62.1,97.0,0,1
1347,Male,6,91.8,43.5,1,1
1487,Male,13,52.9,67.8,0,0
1290,Male,11,71.9,76.3,1,1
1304,Male,13,62.0,57.9,0,0
1494,Female,7,74.9,85.8,1,0
1093,Female,13,70.0,74.3,0,1
1236,Female,11,58.1,67.7,0,0
1387,Female,3,79.4,34.1,0,0
1259,Female,9,76.4,100.0,1,0
1148,Female,12,75.3,72.9,1,0
1135,Male,4,85.5,87.4,1,0
1330,Male,10,89.2,100.0,1,1
1075,Male,12,71.8,62.6,0,0
1473,Male,4,77.3,65.8,1,0
1181,Female,9,65.3,77.9,1,1
1187,Male,10,88.2,73.6,1,1
1341,Female,5,77.0,81.8,0,1
1474,Female,3,70.2,62.1,0,0
1500,Female,12,55.2,32.8,0,0
1013,Male,6,50.7,86.6,0,0
1266,Female,9,82.9,48.6,1,0
1307,Female,1,72.5,74.9,0,1
1486,Male,10,69.2,73.1,1,1
1173,Male,10,77.3,60.8,1,1
1462,Female,9,60.5,76.3,0,1
1401,Male,7,76.0,47.4,0,0
1238,Male,6,49.7,71.4,0,0
1261,Male,8,82.2,57.0,1,1
1005,Female,2,75.0,68.1,0,0
1402,Male,1,68.4,72.9,1,0
1294,Male,4,74.7,86.4,1,1
1145,Male,11,72.7,51.2,0,0
1055,Male,11,80.4,33.2,0,0
1164,Female,7,72.1,82.5,0,0
1200,Female,4,72.5,48.1,0,0
1218,Female,3,87.4,64.2,1,0
1305,Female,12,65.3,90.2,1,0
1376,Male,5,60.0,55.2,0,0
1374,Male,12,91.4,82.4,0,1
1107,Male,2,45.0,79.3,0,0
1313,Female,3,53.6,46.9,0,0
1270,Female,4,76.0,62.4,1,1
1025,Male,4,74.8,63.9,1,1
1044,Female,14,91.3,54.6,1,1
1264,Male,8,67.7,64.2,1,1
1318,Female,13,64.5,59.3,0,0
1395,Female,5,53.6,76.4,1,0
1320,Female,7,69.3,71.8,1,1
1083,Male,5,41.2,62.5,0,0
1167,Male,11,96.6,72.5,1,1
1213,Male,10,72.5,53.5,0,0
1363,Male,14,28.2,59.1,0,0
1125,Female,1,80.4,60.7,1,0
1409,Male,9,76.2,51.4,0,0
1102,Female,1,66.5,77.2,1,1
1433,Male,8,79.4,39.0,0,0
1077,Male,5,67.9,45.4,0,0
1133,Male,12,59.7,87.9,0,1
1497,Female,2,72.7,57.5,1,0
1151,Female,1,81.7,76.6,1,1
1499,Male,11,67.1,43.7,0,0
1027,Male,6,77.4,64.4,1,0
1334,Male,8,68.2,64.7,1,0
1393,Male,4,77.3,93.6,1,1
1113,Male,4,69.6,52.1,0,0
1300,Male,1,86.9,86.7,1,1
1289,Female,8,48.5,73.5,0,0
1368,Female,12,63.5,90.0,1,0
1028,Male,8,62.3,69.5,0,1
1352,Male,10,83.3,49.3,0,1
1355,Male,8,82.6,73.4,1,1
1111,Female,1,60.4,54.1,0,0
1459,Female,3,61.7,64.5,0,0
1205,Male,3,57.0,61.4,0,0
1231,Female,4,74.9,73.6,1,1
1191,Male,2,76.8,92.3,1,0
1358,Female,10,75.5,65.8,1,0
1206,Male,4,78.1,62.1,1,0
1171,Male,4,82.3,67.4,1,1
1413,Female,10,81.9,50.3,0,0
1375,Male,6,73.6,57.1,1,1
1057,Female,14,74.1,59.9,1,0
1149,Male,12,73.9,56.1,1,1
1088,Female,8,82.0,66.7,1,0
1091,Male,14,77.0,70.2,1,0
1098,Female,1,66.8,67.8,1,0
1059,Female,2,70.3,78.4,1,1
1117,Male,11,71.3,66.5,0,1
1496,Female,2,77.2,76.3,1,1
1070,Male,8,61.6,68.0,1,1
1336,Male,2,73.4,73.9,1,1
1306,Female,12,67.1,59.9,0,0
1324,Male,6,63.0,61.7,0,0
1400,Male,11,55.1,81.2,0,0
1490,Male,4,87.8,68.4,1,1
1214,Female,4,61.9,68.8,1,0
1466,Male,6,73.3,59.3,1,1
1452,Male,9,81.7,54.0,1,1
1282,Female,12,65.0,86.7,0,1
1309,Male,4,84.6,95.9,1,0
1399,Male,9,79.6,55.9,1,1
1373,Female,7,76.9,73.4,1,1
1493,Female,11,89.2,73.2,1,0
1226,Male,2,75.0,57.9,1,1
1090,Female,6,100.0,56.6,1,1
1385,Female,3,70.7,84.9,1,1
1323,Male,12,59.1,75.7,0,1
1468,Female,2,55.5,47.4,0,0
1367,Female,12,58.1,62.1,0,0
1453,Male,9,80.1,90.7,1,0
1015,Male,11,65.1,77.2,1,1
1445,Female,8,74.4,72.6,1,1
1291,Male,8,69.3,70.7,0,1
1121,Male,13,78.7,54.8,1,1
1043,Male,8,43.0,36.5,0,0
1197,Female,7,82.7,79.9,1,1
1034,Male,2,66.7,74.8,1,1
1469,Male,9,89.7,58.6,1,0
1423,Female,5,76.5,70.0,1,1
1280,Male,14,55.9,51.1,0,0
1440,Female,6,45.8,86.0,1,0
1391,Female,1,67.1,46.1,0,0
1286,Female,2,80.7,74.1,0,1
1017,Male,10,64.5,75.8,1,0
1159,Male,11,83.2,69.0,0,1
1244,Female,12,76.8,39.8,0,0
1067,Female,9,58.8,59.6,0,0
1432,Female,6,68.0,63.3,1,0
1436,Male,5,76.9,64.5,1,1
1120,Male,1,61.1,57.3,0,0
1447,Female,2,77.8,50.5,0,0
1066,Female,7,92.0,72.1,1,0
1464,Female,10,57.1,44.5,0,0
1010,Female,7,65.8,91.7,1,1
1019,Female,5,78.5,78.5,1,0
1154,Male,2,84.0,87.2,1,1
1297,Male,12,57.9,65.5,0,0
1257,Female,4,70.9,60.1,0,0
1308,Male,2,68.3,39.9,0,0
1273,Male,8,80.0,64.2,1,1
1134,Male,14,70.8,67.3,1,1
1404,Female,4,82.4,58.8,1,1
1254,Male,7,94.9,56.0,1,0
1271,Female,12,77.1,60.4,1,1
1162,Female,2,67.5,65.4,0,0
1287,Male,13,72.8,43.9,0,0
1378,Male,12,71.6,82.8,1,1
1380,Female,1,68.9,48.7,0,0
1340,Female,6,70.0,80.4,0,0
1475,Female,10,89.4,70.1,1,1
1002,Female,2,74.8,77.8,1,1
1225,Male,7,65.1,80.1,0,0
1208,Female,8,50.6,71.9,0,0
1118,Female,12,84.6,58.2,0,1
1422,Female,13,81.1,98.0,1,1
1359,Male,3,67.7,72.4,0,1
1371,Female,2,98.9,69.4,1,1
1265,Male,10,66.1,76.4,0,0
1275,Male,7,54.7,81.7,1,0
1071,Female,1,74.1,90.1,0,1
1129,Male,1,57.4,47.3,0,0
1405,Female,4,89.8,67.7,1,1
1099,Female,2,66.3,47.4,0,0
1366,Female,3,77.7,66.4,1,1
1022,Female,12,51.8,87.6,0,0
1194,Female,6,71.4,85.9,0,1
1006,Female,12,93.9,79.9,1,0
1410,Female,8,81.2,72.8,0,0
1314,Female,11,76.7,85.7,1,0
1136,Male,5,44.6,74.2,0,0
1434,Male,7,76.1,49.0,0,0
1421,Male,8,67.5,67.4,1,1
1328,Female,4,83.8,88.5,0,1
1199,Male,11,75.0,71.8,1,0
1414,Female,12,71.3,59.5,1,0
1204,Male,7,63.0,70.5,1,1
1068,Male,1,79.0,78.5,1,1
1224,Female,13,69.6,50.3,0,0
1128,Male,3,69.5,28.2,0,0
1144,Female,2,77.4,59.8,1,1
1327,Male,3,64.5,86.9,0,0
1140,Female,10,75.4,78.9,0,0
1219,Female,3,85.2,30.8,0,0
1379,Male,11,55.6,68.6,0,0
1331,Female,2,78.4,82.9,1,1
1158,Female,8,73.2,83.7,1,1
1095,Female,4,79.5,80.8,1,1
1256,Male,3,93.0,74.6,1,1
1470,Male,8,73.8,57.1,1,1
1132,Male,14,67.8,50.1,0,0
1227,Male,2,66.0,74.1,0,1
1040,Male,2,67.1,94.6,0,0
1478,Female,10,64.3,53.9,0,0
1488,Female,8,61.0,46.2,0,0
1190,Female,6,58.9,59.0,0,0
1443,Male,7,84.5,77.3,1,0
1430,Male,10,72.6,57.3,0,1
1249,Male,5,61.3,95.9,0,1
1039,Female,6,65.6,63.9,0,0
1243,Female,6,39.9,79.1,0,0
1354,Female,11,74.5,58.0,0,0
1489,Female,11,74.7,49.1,0,0
1139,Male,1,89.5,75.9,1,1
1023,Male,11,78.5,80.6,0,1
1160,Male,8,93.6,61.8,1,0
1026,Female,12,54.9,50.7,0,0
1184,Male,4,92.7,91.1,1,0
1241,Female,6,70.6,44.2,0,0
1014,Female,13,78.2,85.0,0,0
1146,Female,12,78.6,50.2,0,0
1407,Female,12,87.8,51.9,1,1
1315,Male,5,73.2,63.1,1,1
1362,Male,13,76.6,63.4,0,1
1079,Male,7,51.5,55.1,0,0
1321,Male,12,56.7,77.8,0,1
1415,Male,11,63.2,58.6,0,0
1495,Female,13,70.2,65.7,1,0
1388,Male,4,60.0,65.1,1,0
1053,Female,14,78.3,68.1,1,0
1454,Female,6,60.5,64.1,0,0
1035,Female,14,72.4,68.0,1,1
1335,Female,14,61.6,64.9,0,0
1484,Male,14,69.6,68.4,1,0
1377,Male,2,70.7,74.9,1,0
1185,Male,13,88.3,89.7,1,1
1312,Female,7,77.7,76.6,1,1
1326,Female,10,78.7,44.5,0,0
1188,Female,6,72.1,58.6,0,0
1285,Male,13,59.9,80.4,1,0
1458,Female,5,62.9,88.5,1,1
1166,Male,12,59.8,56.0,0,0
1394,Female,3,77.6,74.7,1,1
1299,Male,7,75.5,69.4,1,1
1024,Female,9,59.6,90.3,1,1
1465,Female,7,69.6,57.1,0,0
1348,Female,13,75.7,71.6,1,1
1420,Female,11,80.0,36.4,0,0
1183,Male,1,92.2,76.9,1,0
1344,Female,3,72.1,63.9,1,1
1042,Male,3,59.5,64.3,0,0
1357,Female,3,86.4,89.6,1,1
1237,Male,9,46.6,44.6,0,0
1427,Female,7,52.1,38.0,0,0
1351,Female,1,70.9,23.7,0,0
1076,Female,7,61.2,64.2,0,0
1032,Female,14,64.6,73.3,1,1
1350,Male,5,58.2,61.4,0,0
1046,Male,6,67.1,57.7,0,0
1463,Male,13,77.3,73.9,1,1
1109,Female,13,62.6,97.4,0,0
1106,Male,9,83.4,64.2,0,1
1150,Female,7,81.3,68.4,0,1
1030,Female,5,80.6,85.0,1,1
1182,Male,1,56.6,77.8,1,1
1110,Female,13,44.2,49.6,0,0
1123,Female,10,79.8,72.5,1,1
1467,Female,5,100.0,62.5,1,1
1105,Female,10,69.1,83.1,1,1
1061,Female,12,51.2,62.2,0,0
1147,Male,10,69.7,69.3,0,0
1084,Male,8,81.4,50.8,0,0
1316,Female,1,70.2,64.9,1,1
1382,Male,7,83.1,46.6,1,1
1428,Female,8,59.5,42.8,0,0
1228,Male,14,64.5,76.5,0,1
1449,Female,6,72.0,53.6,0,0
1152,Female,7,52.6,77.3,0,0
1001,Male,9,62.0,44.8,0,0
1268,Female,9,75.3,96.7,1,1
1439,Male,12,67.6,84.2,0,1
1089,Female,2,76.2,44.0,0,0
1078,Female,14,71.0,53.2,0,0
1269,Male,5,72.2,75.0,1,0
1418,Male,11,72.0,64.8,0,1
1124,Male,13,71.8,81.3,1,1
1298,Male,6,58.9,41.7,0,0
1370,Male,10,66.2,100.0,1,1
1096,Female,11,87.0,56.0,0,1
1483,Female,7,71.1,44.2,0,0
1012,Female,11,74.9,82.6,1,0
1115,Male,3,69.1,60.7,1,1
1332,Female,8,88.4,82.6,0,1
1429,Female,11,59.7,71.2,1,0
1258,Male,2,73.6,52.5,1,0
1220,Female,7,70.4,53.1,0,0
1438,Female,2,46.7,61.6,0,0
1253,Female,6,68.0,64.8,1,0
1353,Female,3,82.4,84.8,1,0
1476,Female,8,66.5,55.8,0,0
1262,Female,9,63.5,81.7,0,0
1444,Female,12,86.3,76.3,0,1
1179,Female,1,50.6,66.3,0,0
1411,Male,10,73.5,50.7,0,0
1279,Male,6,82.0,73.7,1,1
1020,Male,11,81.2,47.7,1,1
1356,Male,7,77.9,47.1,0,0
1170,Female,1,60.9,79.6,1,0
1240,Male,14,72.4,72.4,0,1
1278,Female,8,63.7,62.3,0,0
1161,Male,9,78.2,40.9,0,0
1074,Male,11,51.7,50.2,0,0
1018,Male,11,64.4,51.5,0,0
1063,Male,9,67.3,83.5,1,0
1250,Female,13,68.1,75.0,1,0
1229,Male,2,75.7,95.5,0,0
1239,Female,9,72.3,82.5,0,1
1230,Male,14,67.2,65.0,1,1
1319,Female,1,96.7,78.4,0,1
1284,Female,8,75.3,45.3,0,0
1048,Male,9,68.3,65.5,0,1
1251,Male,1,89.1,77.9,1,1
1080,Female,5,52.6,100.0,1,0
1296,Male,8,58.7,63.2,0,0
1482,Male,13,89.3,78.9,1,1
1021,Female,13,77.4,56.1,0,0
1457,Female,5,73.2,66.4,1,1
1425,Female,12,89.3,76.2,1,1
1141,Female,12,81.2,59.4,1,1
1193,Female,3,56.4,64.7,0,0
1131,Male,9,80.2,34.3,0,0
1216,Female,7,76.1,77.2,1,0
1245,Male,4,90.7,51.9,1,1
1364,Female,14,51.3,63.1,0,0
1060,Female,4,79.4,75.1,1,0
1222,Female,10,68.2,26.3,0,0
1177,Male,9,79.6,61.3,1,1
1450,Male,14,83.8,79.2,0,1
1056,Male,12,96.6,38.0,0,0
1292,Female,4,70.8,72.4,1,1
1255,Female,7,72.4,74.4,1,1
1408,Female,12,70.7,62.7,1,0
1386,Male,5,74.7,67.8,1,1
1437,Female,9,79.4,65.2,1,1
1198,Female,8,72.1,68.9,0,1
1069,Male,10,75.8,69.7,1,0
1211,Male,9,84.7,58.1,1,1
1233,Female,5,58.3,85.9,1,1
1202,Female,13,59.0,98.1,0,1
1169,Male,3,85.6,58.6,1,1
1186,Male,7,75.1,62.4,0,1
1036,Male,8,75.2,56.8,0,1
1130,Male,12,53.2,40.8,0,0
